I0,I1,I2,I3
-0.379394,-0.358966,-19.605408,-22.813461
-0.37921,-0.358774,-19.433273,-22.216522
-0.379026,-0.358583,-19.25383,-21.875946
-0.378842,-0.358392,-19.414963,-22.139618
-0.378658,-0.358392,-19.598083,-22.30442
-0.378658,-0.358392,-19.316086,-22.238495
-0.378474,-0.358201,-19.32341,-22.161591
-0.37829,-0.358009,-19.568787,-22.150604
-0.378105,-0.358009,-19.425949,-22.150604
-0.378105,-0.357817,-19.667664,-21.802704
-0.377921,-0.357817,-19.737244,-22.245819
-0.377737,-0.357626,-19.034103,-22.524147
-0.377737,-0.357626,-19.059738,-21.956512
-0.377552,-0.357434,-19.473557,-21.861298
-0.377368,-0.357434,-19.792175,-21.941864
-0.377368,-0.357242,-19.502869,-21.919891
-0.377368,-0.357242,-19.579773,-21.938202
-0.377183,-0.357051,-19.543152,-22.135956
-0.376998,-0.357051,-19.590759,-22.007782
-0.376814,-0.357051,-19.034103,-21.824677
-0.376814,-0.356859,-19.854431,-22.201874
-0.376629,-0.356667,-19.53949,-22.135956
-0.376629,-0.356667,-19.554138,-21.93454
-0.376444,-0.356667,-19.39299,-22.384987
-0.376444,-0.356475,-19.572449,-21.619591
-0.376259,-0.356475,-19.664001,-21.839325
-0.376259,-0.356475,-19.550476,-21.978485
-0.375889,-0.356283,-19.905701,-22.300758
-0.375889,-0.356283,-19.711609,-22.531471
-0.375889,-0.356283,-19.488205,-21.667198
-0.375704,-0.356283,-20.418396,-22.242157
-0.375519,-0.356091,-20.015564,-21.945526
-0.375519,-0.356091,-19.235519,-21.506065
-0.375519,-0.356091,-19.385666,-22.220184
-0.375334,-0.355898,-19.268478,-22.461891
-0.375334,-0.355898,-19.44426,-21.916229
-0.375334,-0.355706,-19.513855,-22.165253
-0.375149,-0.355706,-19.718933,-22.106659
-0.375149,-0.355514,-19.158615,-22.106659
-0.374963,-0.355514,-18.766769,-22.352028
-0.374963,-0.355321,-18.755783,-22.56443
-0.374963,-0.355321,-19.447922,-22.176239
-0.374778,-0.355321,-19.213547,-22.044403
-0.374778,-0.355129,-19.792175,-22.139618
-0.374592,-0.355129,-19.953308,-22.721901
-0.374592,-0.354936,-19.920349,-22.165253
-0.374592,-0.354936,-19.601746,-22.465553
-0.374407,-0.354936,-19.858093,-22.044403
-0.374407,-0.354936,-19.598083,-22.579079
-0.374221,-0.354936,-20.129089,-22.450905
-0.374221,-0.354936,-19.352707,-22.30442
-0.374221,-0.354743,-19.671326,-22.044403
-0.374036,-0.354743,-19.638367,-21.736778
-0.374036,-0.354743,-19.67865,-21.846649
-0.374036,-0.354551,-19.491867,-22.864731
-0.374036,-0.354551,-18.946213,-21.88327
-0.37385,-0.354551,-18.964523,-21.821014
-0.373664,-0.354551,-20.136414,-22.066376
-0.373664,-0.354551,-19.510193,-22.571754
-0.373664,-0.354358,-19.770203,-21.850311
-0.373478,-0.354358,-19.700623,-22.0737
-0.373478,-0.354358,-19.059738,-22.117645
-0.373478,-0.354358,-18.97551,-22.502174
-0.373478,-0.354358,-19.671326,-21.927216
-0.373293,-0.354165,-19.100021,-21.912567
-0.373293,-0.354165,-18.858322,-22.172577
-0.373293,-0.354165,-19.162277,-21.590294
-0.373106,-0.353972,-19.037766,-21.88327
-0.373106,-0.353972,-19.883728,-21.890594
-0.373106,-0.353972,-19.854431,-22.128632
-0.373106,-0.353972,-19.034103,-21.604942
-0.37292,-0.353972,-19.165939,-21.824677
-0.37292,-0.353779,-19.473557,-22.099335
-0.37292,-0.353972,-19.473557,-22.015106
-0.372734,-0.353779,-19.810486,-22.176239
-0.372734,-0.353779,-19.832458,-22.172577
-0.372734,-0.353779,-20.151062,-21.539024
-0.372734,-0.353779,-18.964523,-22.659645
-0.372548,-0.353779,-19.579773,-21.88327
-0.372362,-0.353779,-19.814148,-21.81369
-0.372362,-0.353586,-19.982605,-21.846649
-0.372362,-0.353586,-19.733582,-22.491188
-0.372175,-0.353586,-19.565125,-21.626915
-0.372175,-0.353586,-19.165939,-21.839325
-0.372175,-0.353586,-20.304871,-22.077362
-0.371989,-0.353586,-19.484543,-21.744102
-0.371989,-0.353586,-19.645691,-21.791718
-0.371989,-0.353393,-19.913025,-22.106659
-0.371803,-0.353586,-20.326843,-22.081024
-0.371803,-0.353393,-20.154724,-21.747765
-0.371803,-0.353393,-20.052185,-21.436485
-0.371616,-0.353393,-20.359802,-22.059052
-0.371616,-0.353393,-19.909363,-22.216522
-0.371429,-0.353393,-20.260925,-22.113983
-0.371429,-0.353393,-20.1474,-21.835663
-0.371429,-0.353393,-20.037537,-21.945526
-0.371243,-0.353393,-20.140076,-22.597389
-0.371243,-0.353393,-19.975281,-22.110321
-0.371056,-0.353393,-19.62738,-21.311974
-0.371056,-0.353393,-19.729919,-22.077362
-0.370869,-0.353199,-20.253601,-22.084686
-0.370869,-0.353199,-19.93866,-22.168915
-0.370869,-0.353199,-20.121765,-22.40696
-0.370682,-0.353199,-19.854431,-21.901581
-0.370496,-0.353199,-20.575882,-22.011444
-0.370496,-0.353199,-19.689636,-21.912567
-0.370496,-0.353199,-20.411072,-21.95285
-0.370309,-0.353199,-20.253601,-21.762421
-0.370121,-0.353199,-20.004578,-21.916229
-0.370121,-0.353199,-20.466003,-21.886932
-0.370121,-0.353199,-20.000916,-21.290001
-0.369934,-0.353199,-19.997253,-21.429161
-0.369747,-0.353199,-20.304871,-22.139618
-0.369747,-0.353199,-20.898148,-21.648888
-0.369747,-0.353199,-20.28656,-21.744102
-0.369747,-0.353199,-20.392761,-21.637901
-0.36956,-0.353199,-19.828796,-21.136185
-0.369373,-0.353199,-20.718704,-21.784393
-0.369373,-0.353199,-20.015564,-22.278786
-0.369373,-0.353199,-20.546585,-21.604942
-0.369373,-0.353199,-20.21698,-21.637901
-0.369185,-0.353006,-20.627151,-21.517052
-0.368998,-0.353006,-20.649124,-22.077362
-0.368998,-0.353199,-19.88739,-21.773407
-0.368998,-0.353199,-20.132751,-21.333946
-0.36881,-0.353006,-20.114441,-21.714806
-0.36881,-0.353006,-20.037537,-22.256813
-0.36881,-0.353199,-20.191345,-21.872284
-0.368623,-0.353006,-20.42572,-21.286339
-0.368623,-0.353006,-20.26825,-21.381554
-0.368435,-0.353199,-19.989929,-22.297096
-0.368435,-0.353006,-19.982605,-22.110321
-0.368435,-0.353199,-20.257263,-22.223846
-0.368435,-0.353006,-20.121765,-21.60128
-0.368247,-0.353199,-20.143738,-21.74044
-0.368247,-0.353006,-20.440369,-21.293663
-0.36806,-0.353006,-20.546585,-22.19455
-0.36806,-0.353006,-20.601517,-22.42527
-0.367872,-0.353006,-20.57222,-21.974823
-0.367872,-0.353006,-20.828568,-21.590294
-0.367684,-0.353006,-20.132751,-22.088348
-0.367684,-0.353006,-21.125198,-22.146942
-0.367684,-0.353199,-20.737015,-21.696495
-0.367496,-0.353006,-20.57222,-21.465782
-0.367496,-0.353006,-20.33783,-21.590294
-0.367308,-0.353006,-20.392761,-21.685509
-0.367308,-0.353006,-20.667435,-21.330284
-0.367308,-0.353199,-20.923782,-21.290001
-0.36712,-0.353006,-21.015335,-21.436485
-0.36712,-0.353199,-20.704056,-21.875946
-0.366931,-0.353199,-20.986038,-21.703819
-0.366931,-0.353006,-20.693069,-21.593956
-0.366743,-0.353199,-20.854202,-21.758759
-0.366555,-0.353006,-20.436707,-22.084686
-0.366555,-0.353199,-20.42572,-21.769745
-0.366555,-0.353006,-21.154495,-22.018768
-0.366555,-0.353006,-21.044632,-22.436256
-0.366367,-0.353006,-20.799271,-22.121307
-0.366178,-0.353006,-20.876175,-21.824677
-0.366178,-0.353006,-21.022659,-22.238495
-0.366178,-0.353199,-20.634476,-21.560997
-0.366178,-0.353006,-20.561234,-21.780731
-0.365989,-0.353006,-20.872513,-21.945526
-0.365989,-0.353006,-20.865189,-21.81369
-0.365801,-0.353006,-20.700394,-22.454567
-0.365801,-0.353006,-20.462341,-22.21286
-0.365612,-0.353199,-19.95697,-22.209198
-0.365612,-0.353006,-20.934769,-22.30442
-0.365423,-0.353006,-20.857864,-21.989471
-0.365423,-0.353006,-20.693069,-21.60128
-0.365423,-0.353006,-20.564896,-22.146942
-0.365235,-0.353006,-20.385437,-22.377663
-0.365235,-0.353006,-21.363235,-21.608604
-0.365235,-0.353006,-21.257034,-21.597618
-0.365046,-0.353006,-21.279007,-21.436485
-0.365046,-0.353006,-21.410843,-21.663536
-0.364857,-0.353199,-21.106888,-21.853973
-0.364857,-0.353006,-20.934769,-21.982147
-0.364668,-0.353006,-20.751663,-22.487526
-0.364668,-0.353199,-20.689407,-22.128632
-0.364479,-0.353006,-20.953079,-21.205765
-0.364479,-0.353006,-21.253372,-21.853973
-0.364479,-0.353006,-21.451126,-21.751434
-0.364289,-0.353199,-21.114212,-21.927216
-0.364289,-0.353006,-20.704056,-21.67086
-0.364289,-0.353006,-21.000687,-21.026321
-0.364289,-0.353199,-21.443802,-21.678185
-0.3641,-0.353006,-20.205994,-21.769745
-0.363911,-0.353006,-20.993362,-21.725792
-0.363911,-0.353006,-21.279007,-21.725792
-0.363911,-0.353006,-20.528275,-21.758759
-0.363911,-0.353006,-21.2314,-21.762421
-0.363911,-0.353006,-20.923782,-22.509499
-0.363721,-0.353006,-20.945755,-22.00412
-0.363721,-0.353006,-21.612274,-22.267799
-0.363532,-0.353006,-21.780731,-22.02243
-0.363532,-0.353006,-20.982376,-21.941864
-0.363343,-0.353006,-20.806595,-21.963837
-0.363153,-0.353006,-20.857864,-21.784393
-0.363153,-0.353006,-21.37056,-21.86496
-0.363153,-0.353006,-20.883499,-22.040741
-0.363153,-0.353006,-20.158386,-22.157928
-0.363153,-0.353006,-20.748001,-21.886932
-0.362963,-0.353006,-20.440369,-21.74044
-0.362963,-0.353006,-20.927444,-21.418175
-0.362963,-0.353006,-20.865189,-21.79538
-0.362963,-0.353006,-20.857864,-22.560768
-0.362963,-0.353006,-20.550247,-22.461891
-0.362963,-0.353006,-20.575882,-21.88327
-0.362963,-0.353006,-20.440369,-21.916229
-0.362963,-0.353006,-21.008011,-21.835663
-0.362774,-0.352813,-21.213089,-21.839325
-0.362774,-0.352813,-20.674759,-21.861298
-0.362774,-0.352813,-20.389099,-21.879608
-0.362774,-0.352813,-21.000687,-21.062943
-0.362774,-0.352813,-20.982376,-21.703819
-0.362584,-0.352813,-20.564896,-22.070038
-0.362584,-0.352813,-21.136185,-21.363243
-0.362584,-0.352813,-20.608841,-21.326622
-0.362584,-0.352813,-20.59053,-21.674522
-0.362584,-0.352813,-20.92012,-22.102997
-0.362394,-0.352813,-20.063171,-21.824677
-0.362584,-0.353006,-21.011673,-21.872284
-0.362394,-0.352813,-21.095901,-21.956512
-0.362394,-0.352813,-21.077591,-21.736778
-0.362394,-0.352813,-20.564896,-21.546349
-0.362394,-0.352813,-21.037308,-21.95285
-0.362204,-0.352813,-20.865189,-21.762421
-0.362204,-0.352813,-21.11055,-22.28611
-0.362204,-0.352813,-21.011673,-22.315407
-0.362204,-0.352813,-21.088577,-21.385216
-0.362204,-0.352813,-21.158157,-21.626915
-0.362204,-0.352813,-20.271912,-22.297096
-0.362204,-0.352813,-20.638138,-22.09201
-0.362014,-0.352813,-21.260696,-21.608604
-0.362014,-0.352813,-20.466003,-21.630577
-0.362014,-0.352813,-20.978714,-22.02243
-0.362014,-0.352813,-20.173035,-22.297096
-0.362014,-0.352813,-20.524612,-21.806366
-0.362014,-0.352813,-20.894485,-22.527809
-0.362014,-0.352813,-20.715042,-22.388649
-0.362014,-0.352813,-20.290222,-22.839096
-0.362014,-0.35262,-20.370789,-22.381325
-0.362014,-0.35262,-20.374451,-21.469444
-0.362014,-0.35262,-20.26825,-21.806366
-0.362014,-0.35262,-20.550247,-22.059052
-0.362014,-0.35262,-21.004349,-22.436256
-0.362014,-0.352426,-19.814148,-21.982147
-0.362014,-0.35262,-20.846878,-21.810028
-0.361824,-0.35262,-19.81781,-22.044403
-0.362014,-0.352426,-21.117874,-22.681618
-0.361824,-0.35262,-20.275574,-22.271461
-0.361824,-0.35262,-20.755325,-21.971161
-0.361824,-0.35262,-20.50264,-22.048065
-0.361824,-0.352426,-20.235291,-22.42527
-0.361824,-0.35262,-20.704056,-21.901581
-0.361824,-0.35262,-20.154724,-22.029755
-0.361824,-0.352426,-20.066833,-21.989471
-0.361824,-0.352426,-20.345154,-21.802704
-0.361824,-0.352426,-20.909134,-21.25338
-0.361824,-0.352426,-20.198669,-21.758759
-0.361824,-0.352426,-20.795609,-21.963837
-0.361824,-0.352426,-20.733353,-21.93454
-0.361824,-0.352426,-20.71138,-22.011444
-0.361824,-0.352426,-20.828568,-21.637901
-0.361634,-0.35262,-20.517288,-21.879608
-0.361634,-0.35262,-20.671097,-22.337379
-0.361634,-0.352426,-21.330276,-22.066376
-0.361634,-0.35262,-20.191345,-21.557335
-0.361634,-0.352426,-20.249939,-21.890594
-0.361634,-0.352426,-20.447693,-21.777069
-0.361634,-0.35262,-20.42572,-21.824677
-0.361634,-0.352426,-20.678421,-21.700157
-0.361634,-0.352426,-20.663773,-21.93454
-0.361634,-0.352426,-21.062943,-22.124969
-0.361634,-0.35262,-20.769974,-21.524376
-0.361634,-0.352426,-21.18013,-21.780731
-0.361444,-0.352426,-20.652786,-22.033417
-0.361634,-0.352426,-19.883728,-22.018768
-0.361634,-0.352426,-20.429382,-22.154266
-0.361634,-0.352426,-20.583206,-21.550011
-0.361444,-0.352426,-20.700394,-22.015106
-0.361444,-0.352426,-21.311966,-22.088348
-0.361444,-0.352426,-21.224075,-21.974823
-0.361444,-0.352426,-20.879837,-22.322731
-0.361444,-0.352426,-21.191116,-22.128632
-0.361444,-0.352426,-21.022659,-21.905243
-0.361444,-0.352426,-20.758987,-21.993134
-0.361444,-0.35262,-20.42572,-22.641335
-0.361444,-0.352426,-20.539261,-21.905243
-0.361444,-0.352426,-20.707718,-21.927216
-0.361444,-0.352426,-20.813919,-21.853973
-0.361444,-0.352426,-20.579544,-21.985809
-0.361444,-0.352426,-20.433044,-22.198212
-0.361444,-0.352426,-20.66011,-22.040741
-0.361254,-0.352426,-20.879837,-21.81369
-0.361444,-0.352426,-20.707718,-22.040741
-0.361254,-0.352426,-20.509964,-21.539024
-0.361254,-0.352426,-20.35614,-21.949188
-0.361254,-0.352426,-21.018997,-21.945526
-0.361444,-0.352426,-20.634476,-22.227509
-0.361254,-0.352426,-20.597855,-21.985809
-0.361444,-0.352426,-20.513626,-21.79538
-0.361254,-0.352426,-20.564896,-22.176239
-0.361254,-0.35262,-20.564896,-21.480431
-0.361254,-0.352426,-21.271683,-21.890594
-0.361254,-0.352426,-20.960403,-21.396202
-0.361254,-0.352426,-20.923782,-21.751434
-0.361254,-0.352426,-20.942093,-21.634239
-0.361254,-0.352426,-20.627151,-22.102997
-0.361254,-0.352426,-20.542923,-21.95285
-0.361254,-0.352426,-20.616165,-21.58297
-0.361444,-0.35262,-20.6418,-22.220184
-0.361254,-0.352426,-20.458679,-21.842987
-0.361254,-0.352426,-20.824905,-21.758759
-0.361254,-0.352426,-20.715042,-21.626915
-0.361254,-0.352426,-20.909134,-22.110321
-0.361254,-0.352426,-20.949417,-21.586632
-0.361254,-0.352426,-20.945755,-21.645226
-0.361254,-0.352426,-20.539261,-21.506065
-0.361254,-0.352426,-20.982376,-21.993134
-0.361254,-0.352426,-20.583206,-21.872284
-0.361254,-0.352426,-20.345154,-22.168915
-0.361254,-0.352426,-20.942093,-21.853973
-0.361254,-0.35262,-21.070267,-21.894257
-0.361254,-0.352426,-20.748001,-21.960175
-0.361254,-0.352426,-20.249939,-21.65255
-0.361254,-0.352426,-20.953079,-21.703819
-0.361254,-0.352426,-20.059509,-22.56443
-0.361254,-0.352426,-19.843445,-22.242157
-0.361254,-0.352426,-20.975052,-22.183563
-0.361254,-0.352232,-20.630814,-22.40696
-0.361254,-0.352232,-20.612503,-21.853973
-0.361254,-0.352232,-20.883499,-21.930878
-0.361254,-0.352426,-20.396423,-22.245819
-0.361254,-0.352232,-20.748001,-21.901581
-0.361063,-0.352426,-21.344925,-21.956512
-0.361063,-0.352232,-21.257034,-21.835663
-0.361063,-0.352232,-20.279236,-22.033417
-0.361063,-0.352232,-20.865189,-22.084686
-0.361063,-0.352232,-20.491638,-22.227509
-0.361063,-0.352232,-20.28656,-22.117645
-0.361063,-0.352232,-20.766312,-22.538795
-0.361063,-0.352232,-21.198441,-22.370338
-0.361063,-0.352232,-20.795609,-22.282448
-0.361063,-0.352232,-20.960403,-22.297096
-0.360873,-0.352232,-20.557571,-22.121307
-0.361063,-0.352232,-21.326614,-21.685509
-0.361063,-0.352232,-20.42572,-21.729454
-0.361063,-0.352232,-20.76265,-21.872284
-0.361063,-0.352039,-20.466003,-22.029755
-0.360873,-0.352232,-20.693069,-21.901581
-0.361063,-0.352039,-20.041199,-22.117645
-0.361063,-0.352039,-20.71138,-22.480202
-0.361063,-0.352039,-20.088806,-22.560768
-0.361063,-0.352039,-20.986038,-22.055389
-0.361063,-0.352039,-20.50264,-21.44381
-0.360873,-0.352039,-20.455017,-22.02243
-0.361063,-0.352039,-20.260925,-21.385216
-0.360873,-0.352039,-20.879837,-22.066376
-0.360873,-0.352039,-20.934769,-22.49485
-0.360873,-0.352039,-21.092239,-22.626686
-0.360873,-0.351845,-20.986038,-22.663307
-0.360873,-0.351845,-20.916458,-22.055389
-0.360873,-0.351845,-20.326843,-22.19455
-0.360873,-0.351845,-20.561234,-22.601051
-0.360873,-0.351845,-20.242615,-22.674294
-0.361063,-0.351845,-20.242615,-22.095673
-0.361063,-0.351651,-20.718704,-22.095673
-0.361063,-0.351651,-20.817581,-22.388649
-0.361063,-0.351651,-20.857864,-22.436256
-0.361063,-0.351651,-20.187683,-22.227509
-0.361063,-0.351651,-20.824905,-21.835663
-0.360873,-0.351651,-21.242386,-22.128632
-0.360873,-0.351651,-20.6418,-22.095673
-0.360873,-0.351651,-21.326614,-22.029755
-0.360873,-0.351651,-20.491638,-22.227509
-0.360873,-0.351651,-20.202332,-21.857635
-0.360873,-0.351651,-20.264587,-22.146942
-0.360873,-0.351651,-20.557571,-22.754868
-0.360873,-0.351651,-21.04097,-23.271233
-0.360873,-0.351651,-20.348816,-22.487526
-0.360873,-0.351651,-20.238953,-22.209198
-0.360873,-0.351651,-20.876175,-22.513161
-0.360873,-0.351651,-21.286331,-21.908905
-0.360873,-0.351651,-21.000687,-21.355919
-0.360873,-0.351651,-20.76265,-21.366905
-0.360873,-0.351651,-20.645462,-22.21286
-0.360873,-0.351651,-21.311966,-22.586403
